user_id,age,gender,married,has_children,home_country,home_city,home_airport,user_since_days,total_session,total_clicks,total_session_duration_sec,trip_count,total_cancellation,total_successfull_trip,total_trip_duration_hrs,unique_destination_city,Total_spent,num_hotel_stayed,total_hotel_booking,total_nights,total_room,total_hotel_expenditure,total_flight_booked,total_return_flight,total_seat,total_checked_bags,total_distance_flown_km,total_flight_expenditure,total_airline_used,total_destination_airport_used,total_origin_airport_used,total_discounted_flight,total_discounted_hotel,age_group,avg_session_duration,clicks_per_session,trip_cancellation_rate,avg_seat_booked,avg_room_booked,avg_spend,flight_trip_ratio,hotel_trip_ratio,avg_hotel_stay,avg_distance_flown,avg_luggage,avg_discounted_flight,avg_discounted_hotel,trip_conversion_rate,travel_behavior,website_engagement_level,budget_behavior,flight_booking_segment,demographic_trip_type,life_stage_segement,hotel_stay_behavior,hotel_booking_behavior,value_score,score_based_clusters,perk,cluster
568486,59,F,True,False,Canada,Calgary,YYC,105,8,134,1005.0,4,0,4,720.0,3,3088.98,4,4,28.700000000000003,4.0,2336.0,8.0,4,4.0,2.0,9842.113685385282,1104.98,4,4,1,1.0,1.0,55-64,125.625,16.75,0.0,0.5,1.0,772.245,2.0,1.0,7.175000000000001,1230.2642106731603,0.25,0.125,0.25,0.5,Frequent Travelers,Medium,economy_traveler,primarily_flight_booker,Single Traveller,senior_couple,long_term_guests,primarily_booker,11,cluster_2,Welcome_Aboard: 10% Discount for Next Booking valid 6 months,1
568970,44,F,False,True,USA,Las Vegas,LAS,105,8,82,610.0,2,0,2,288.0,2,0.0,0,0,0.0,0.0,0.0,4.0,2,2.0,1.0,2093.0560709701767,400.74,2,2,1,0.0,0.0,35-44,76.25,10.25,0.0,0.5,-1.0,0.0,2.0,0.0,-1.0,523.2640177425442,0.25,0.0,-1.0,0.25,Regular Travelers,Medium,no_spend,primarily_flight_booker,Single Parent Trip,single,short_stay_visitor,never_stayed_hotel,16,cluster_4,Extended Stay Saver: Free musium Pass for hotel stays of 3 nights ,1
569150,39,F,False,False,USA,Washington,IAD,105,8,137,1015.0,5,0,5,432.0,5,1486.94,4,4,9.85,4.0,867.0,10.0,5,7.0,5.0,5728.207814487872,3140.99,4,5,1,0.0,1.0,35-44,126.875,17.125,0.0,0.7,1.0,297.38800000000003,2.0,0.8,2.4625,572.8207814487872,0.5,0.0,0.25,0.625,Frequent Travelers,Medium,economy_traveler,primarily_flight_booker,Single Traveller,single,medium_stay_visitors,frequent_booker,9,cluster_1,"Flaxi flyer Pass: 3% Personal Discount next flight, valid 1 year",1
569792,35,F,False,False,USA,Tulsa,TUL,104,8,131,978.0,4,0,4,384.0,4,5080.14,4,4,14.52,7.0,3476.0,7.0,3,7.0,2.0,4396.004121144157,1604.14,3,4,1,0.0,0.0,25-34,122.25,16.375,0.0,1.0,1.75,1270.035,1.75,1.0,3.63,628.0005887348796,0.2857142857142857,0.0,0.0,0.5,Frequent Travelers,Medium,economy_traveler,frequent_flight_booker,Single Traveller,single,medium_stay_visitors,primarily_booker,9,cluster_1,"Flaxi flyer Pass: 3% Personal Discount next flight, valid 1 year",1
570242,18,F,False,False,USA,Memphis,MEM,104,8,63,468.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,Under 25,58.5,7.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,Infrequent Travelers,Medium,no_spend,never_flown,Single Traveller,single,short_stay_visitor,never_stayed_hotel,12,cluster_2,Welcome_Aboard: 10% Discount for Next Booking valid 6 months,2
570369,36,F,True,False,USA,Nashville,BNA,104,8,141,1047.0,4,0,4,216.0,3,583.86,3,3,7.81,3.0,2899.0,5.0,2,3.0,2.0,4947.936667995122,777.1999999999999,3,3,1,0.0,1.0,35-44,130.875,17.625,0.0,0.6,1.0,145.965,1.25,0.75,2.603333333333333,989.5873335990243,0.4,0.0,0.3333333333333333,0.5,Frequent Travelers,Medium,budget_sensitive_traveler,occasional_flight_booker,Single Traveller,established_couple,medium_stay_visitors,frequent_booker,7,cluster_1,"Flaxi flyer Pass: 3% Personal Discount next flight, valid 1 year",1
570601,37,M,True,True,USA,Baltimore,BWI,104,8,91,681.0,2,0,2,288.0,2,1633.45,1,1,8.03,1.0,1576.0,4.0,2,2.0,2.0,2292.008773951794,57.45,2,2,1,1.0,0.0,35-44,85.125,11.375,0.0,0.5,1.0,816.725,2.0,0.5,8.03,573.0021934879485,0.5,0.25,0.0,0.25,Regular Travelers,Medium,economy_traveler,primarily_flight_booker,Family Trip,established_family,long_term_guests,occassional_booker,13,cluster_2,Welcome_Aboard: 10% Discount for Next Booking valid 6 months,1
570639,31,F,False,False,USA,New York,JFK,104,9,195,1449.0,3,0,3,216.0,3,2192.99,2,2,5.72,2.0,1024.0,6.0,3,3.0,0.0,10148.823912474796,1857.5,3,3,1,0.0,1.0,25-34,161.0,21.666666666666668,0.0,0.5,1.0,730.9966666666666,2.0,0.6666666666666666,2.86,1691.4706520791326,0.0,0.0,0.5,0.3333333333333333,Regular Travelers,Medium,budget_sensitive_traveler,primarily_flight_booker,Single Traveller,single,medium_stay_visitors,frequent_booker,11,cluster_2,Welcome_Aboard: 10% Discount for Next Booking valid 6 months,1
570713,49,F,False,False,USA,New York,JFK,104,8,166,1237.0,2,0,2,96.0,2,858.04,1,1,1.67,1.0,153.0,4.0,2,4.0,3.0,7895.765158054205,7591.18,2,2,1,0.0,0.0,45-54,154.625,20.75,0.0,1.0,1.0,429.02,2.0,0.5,1.67,1973.9412895135513,0.75,0.0,0.0,0.25,Regular Travelers,Medium,economy_traveler,primarily_flight_booker,Single Traveller,single,short_stay_visitor,occassional_booker,15,cluster_3,Free Child's Flight or Hotel Stay (with accompanying adult booking),1
570746,41,F,False,False,USA,New York,JFK,104,8,108,804.0,3,0,3,456.0,2,0.0,2,2,16.05,3.0,11800.0,4.0,2,2.0,2.0,4467.978045761105,719.31,2,2,1,1.0,1.0,35-44,100.5,13.5,0.0,0.5,1.5,0.0,1.3333333333333333,0.6666666666666666,8.025,1116.9945114402763,0.5,0.25,0.5,0.375,Regular Travelers,Medium,no_spend,occasional_flight_booker,Single Traveller,single,long_term_guests,frequent_booker,12,cluster_2,Welcome_Aboard: 10% Discount for Next Booking valid 6 months,1
